hour_of_day,day_of_week,month,holiday,weekday,summertime,temp,dew,humidity,precip,snowdepth,windspeed,cloudcover,visibility,increase_stock,weather_index,hour_of_day_binary,visibility_binary
5,5,1,0,0,0,-7.2,-15.0,53.68,0.0,0.0,16.3,31.6,16.0,low_bike_demand,31.03,0,1
21,4,1,0,1,0,-1.3,-12.8,40.97,0.0,0.0,23.9,85.7,16.0,low_bike_demand,36.2325,0,1
21,3,8,0,1,1,26.9,21.8,73.39,0.0,0.0,0.0,81.1,16.0,low_bike_demand,43.8275,0,1
1,6,1,0,0,0,3.1,-4.0,59.74,0.0,0.0,19.2,0.0,16.0,low_bike_demand,34.84,0,1
17,0,3,0,1,0,11.7,-11.4,18.71,0.0,0.0,10.5,44.6,16.0,low_bike_demand,45.3975,1,1
17,3,3,0,1,1,27.1,12.8,40.98,0.0,0.0,13.6,81.3,16.0,high_bike_demand,49.730000000000004,1,1
20,4,7,0,1,1,30.9,24.3,67.71,0.0,0.0,20.3,50.3,16.0,low_bike_demand,46.8725,1,1
0,1,12,0,1,0,4.9,-1.7,62.46,0.0,0.0,21.5,100.0,16.0,low_bike_demand,35.185,0,1
18,0,11,0,1,0,16.6,13.8,83.56,0.0,0.0,18.1,88.9,16.0,low_bike_demand,36.71,1,1
7,5,1,0,0,0,-4.5,-12.2,55.14,0.0,0.0,12.4,24.4,16.0,low_bike_demand,32.040000000000006,1,1
7,3,9,0,1,1,18.7,15.0,78.74,0.0,0.0,9.2,46.2,16.0,high_bike_demand,38.74,1,1
23,5,5,0,0,1,13.5,2.1,46.11,0.0,0.0,14.2,0.0,16.0,low_bike_demand,42.372499999999995,0,1
8,2,9,0,1,1,23.2,21.7,91.18,0.0,0.0,10.6,61.7,16.0,low_bike_demand,38.42999999999999,1,1
6,1,6,0,1,1,24.8,22.9,89.07,0.0,0.0,0.0,90.1,14.0,low_bike_demand,39.657500000000006,0,1
8,6,2,0,0,0,3.7,-2.3,65.11,0.0,0.0,11.0,92.9,16.0,low_bike_demand,34.0725,1,1
23,6,12,0,0,0,4.5,-6.6,44.44,0.0,0.0,7.1,24.4,16.0,low_bike_demand,38.365,0,1
18,4,12,1,1,0,10.5,-1.0,44.62,0.0,0.0,0.8,92.7,16.0,low_bike_demand,41.22,1,1
16,6,12,0,0,0,0.0,-12.8,37.61,0.0,0.0,14.8,0.0,16.0,low_bike_demand,37.397499999999994,1,1
21,2,9,0,1,1,23.2,21.2,88.49,0.0,0.0,16.4,79.3,16.0,low_bike_demand,38.9775,0,1
6,0,7,0,1,1,24.2,21.7,86.23,0.0,0.0,15.6,90.1,15.8,low_bike_demand,39.9175,0,1
14,5,4,0,0,1,17.7,12.9,73.11,0.0,0.0,7.1,100.0,16.0,high_bike_demand,39.3725,1,1
17,1,9,0,1,1,21.6,5.6,35.2,0.0,0.0,13.5,24.4,16.0,high_bike_demand,48.0,1,1
0,5,1,0,0,0,12.8,11.3,90.18,0.0,0.0,12.2,99.6,16.0,low_bike_demand,33.48,0,1
19,3,12,0,1,0,6.6,1.5,69.97,0.0,0.0,19.9,99.8,16.0,low_bike_demand,34.5325,1,1
23,0,7,0,1,1,23.7,21.1,85.64,0.0,0.0,7.3,81.1,15.9,low_bike_demand,39.79,0,1
17,1,10,0,1,1,17.1,14.3,83.55,0.0,0.0,5.3,100.0,15.9,high_bike_demand,36.962500000000006,1,1
10,1,12,0,1,0,1.0,-6.1,59.27,0.0,0.0,0.0,26.2,16.0,low_bike_demand,33.9075,1,1
16,4,12,0,1,0,10.7,2.8,58.05,0.0,0.0,7.3,96.4,16.0,low_bike_demand,38.862500000000004,1,1
1,0,10,0,1,1,17.1,12.8,75.84,0.0,0.0,17.8,79.3,16.0,low_bike_demand,38.515,0,1
23,2,5,0,1,1,11.6,7.1,74.04,0.0,0.0,20.2,35.9,16.0,low_bike_demand,36.165,0,1
10,0,11,0,1,0,12.3,2.2,50.24,0.0,0.0,16.2,0.0,16.0,low_bike_demand,41.065,1,1
16,0,11,0,1,0,10.0,-3.9,37.53,0.0,0.0,31.1,48.1,16.0,low_bike_demand,42.1425,1,1
10,5,8,0,0,1,24.9,22.1,84.38,0.0,0.0,0.0,76.2,16.0,low_bike_demand,40.655,1,1
16,0,7,0,1,1,31.6,16.1,39.32,0.0,0.0,9.1,80.3,16.0,low_bike_demand,52.095,1,1
14,6,5,0,0,1,19.4,16.7,83.97,0.0,0.0,12.6,71.4,16.0,low_bike_demand,38.0325,1,1
17,4,3,0,1,0,21.0,9.4,47.47,0.0,0.0,20.0,44.6,16.0,high_bike_demand,45.7325,1,1
14,0,3,0,1,1,7.8,4.3,78.92,0.0,0.0,6.1,99.2,14.2,low_bike_demand,33.295,1,1
4,4,6,0,1,1,19.2,16.6,84.53,0.0,0.0,5.4,0.0,16.0,low_bike_demand,37.8175,0,1
14,5,9,0,0,1,22.8,16.6,68.14,0.0,0.0,12.6,97.8,16.0,high_bike_demand,42.815,1,1
16,3,1,0,1,0,12.3,-2.9,34.75,0.0,0.0,5.6,24.4,16.0,low_bike_demand,43.6625,1,1
8,3,11,1,1,0,8.7,6.1,83.86,0.0,0.0,8.9,24.4,16.0,low_bike_demand,32.735,1,1
1,1,9,0,1,1,19.7,14.9,74.24,0.0,0.0,7.1,98.8,16.0,low_bike_demand,40.09,0,1
18,5,3,0,0,0,7.8,-8.4,30.9,0.0,0.0,18.7,46.6,16.0,low_bike_demand,42.12499999999999,1,1
10,4,7,0,1,1,27.2,23.3,79.32,0.0,0.0,12.2,97.2,16.0,low_bike_demand,42.795,1,1
20,0,8,0,1,1,25.0,21.1,78.86,0.0,0.0,25.2,87.5,15.2,low_bike_demand,41.809999999999995,1,1
11,5,4,0,0,1,22.3,13.7,58.5,0.0,0.0,29.8,82.3,16.0,high_bike_demand,44.375,1,1
